experiment,image,algo,threads,bw,run,event,value,unit
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,l1-dcache-loads,26095434600,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,l1-dcache-load-misses,3280215924,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,cache-misses,33653535,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,de_no_dispatch_per_slot.backend_stalls,513827644298,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,cycles,101226267587,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,instructions,297772279162,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,l1-dcache-loads,26111079798,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,l1-dcache-load-misses,3281250494,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,cache-misses,44391307,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,1,de_no_dispatch_per_slot.backend_stalls,514016781236,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,cycles,101162683665,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,instructions,297752588942,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,l1-dcache-loads,26097935552,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,l1-dcache-load-misses,3281522806,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,cache-misses,35434978,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,2,de_no_dispatch_per_slot.backend_stalls,514264538429,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,cycles,101221911711,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,instructions,297772886254,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,l1-dcache-loads,26106449992,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,l1-dcache-load-misses,3281574795,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,cache-misses,48201893,count
scaling,Images/bsd_134052_260x174.jpg,omp,2,20,3,de_no_dispatch_per_slot.backend_stalls,513246361555,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,cycles,101213294164,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,instructions,297776483969,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,l1-dcache-loads,26094042555,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,l1-dcache-load-misses,3281431844,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,cache-misses,33423979,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,1,de_no_dispatch_per_slot.backend_stalls,513999407388,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,cycles,101198043383,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,instructions,297804668978,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,l1-dcache-loads,26094678534,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,l1-dcache-load-misses,3279466523,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,cache-misses,41039878,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,2,de_no_dispatch_per_slot.backend_stalls,513819040263,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,cycles,101310879903,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,instructions,297713109749,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,l1-dcache-loads,26107439007,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,l1-dcache-load-misses,3281065967,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,cache-misses,44672873,count
scaling,Images/bsd_134052_260x174.jpg,omp,4,20,3,de_no_dispatch_per_slot.backend_stalls,514212382145,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,cycles,101417965555,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,instructions,297875285790,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,l1-dcache-loads,26111862607,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,l1-dcache-load-misses,3279446429,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,cache-misses,40745830,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,1,de_no_dispatch_per_slot.backend_stalls,514643973641,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,2,cycles,102032734582,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,2,instructions,297796852244,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,2,l1-dcache-loads,26130387130,count
scaling,Images/bsd_134052_260x174.jpg,omp,8,20,2,l1-dcache-load-misses,3280493566,count
